0.476,1.536,1.648,1.282,0.544,2.371,0.792,2.289,0.262,0.257,0.0197,3.024,0.1958,0.597,0.167,0.8200000000000001,5.394237928656507,4.844237928656508,0.3004518043760268,1.874,0.025
0.476,1.536,1.648,1.282,0.544,2.371,0.792,2.289,0.262,0.257,0.0197,3.024,0.1958,0.597,0.167,0.25,3.9542379286565073,3.594237928656508,0.3304518043760268,1.874,0.025
0.476,1.536,1.648,1.282,0.544,2.371,0.792,2.289,0.262,0.257,0.0197,3.024,0.1958,0.597,0.167,4.1,4.604237928656508,4.374237928656507,0.1804518043760268,1.874,0.025
0.476,1.536,1.648,1.282,0.544,2.371,0.792,2.289,0.262,0.257,0.0197,3.024,0.1958,0.597,0.167,0.89,5.554237928656507,4.6942379286565075,0.2904518043760268,1.874,0.025
0.476,1.536,1.648,1.282,0.544,2.371,0.792,2.289,0.262,0.257,0.0197,3.024,0.1958,0.597,0.167,1.54,3.5442379286565076,3.5242379286565075,0.19045180437602677,1.874,0.025
0.476,1.536,1.648,1.282,0.544,2.371,0.792,2.289,0.262,0.257,0.0197,3.024,0.1958,0.597,0.167,0.38,5.084237928656507,4.934237928656508,0.2904518043760268,1.874,0.025
0.476,1.536,1.648,1.282,0.544,2.371,0.792,2.289,0.262,0.257,0.0197,3.024,0.1958,0.597,0.167,2.02,4.134237928656507,4.084237928656508,0.3004518043760268,1.874,0.025
0.476,1.536,1.648,1.282,0.544,2.371,0.792,2.289,0.262,0.257,0.0197,3.024,0.1958,0.597,0.167,3.8200000000000003,4.744237928656507,4.2742379286565075,0.3004518043760268,1.874,0.025
0.476,1.536,1.648,1.282,0.544,2.371,0.792,2.289,0.262,0.257,0.0197,3.024,0.1958,0.597,0.167,1.75,4.1942379286565075,3.9142379286565077,0.24045180437602678,1.874,0.025
0.476,1.536,1.648,1.282,0.544,2.371,0.792,2.289,0.262,0.257,0.0197,3.024,0.1958,0.597,0.167,3.67,6.134237928656507,4.054237928656508,0.2704518043760268,1.874,0.025
0.671,1.717,1.981,1.254,0.718,2.953,1.431,0.778,2.485,0.126,0.0186,4.091,0.5613,0.657,0.45,0.3,4.724237928656508,4.624237928656507,0.20045180437602678,2.262,0.0168
0.671,1.717,1.981,1.254,0.718,2.953,1.431,0.778,2.485,0.126,0.0186,4.091,0.5613,0.657,0.45,5.17,6.104237928656508,5.934237928656508,0.21045180437602679,2.262,0.0168
0.671,1.717,1.981,1.254,0.718,2.953,1.431,0.778,2.485,0.126,0.0186,4.091,0.5613,0.657,0.45,2.08,5.224237928656508,4.084237928656508,0.24045180437602678,2.262,0.0168
